Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,416.799988,421.059998,415.929993,420.859985,393.348694,72822000
2021-06-22,420.850006,424.000000,420.079987,423.109985,395.451630,57700300
2021-06-23,423.190002,424.049988,422.510010,422.600006,394.974976,49445400
2021-06-24,424.890015,425.549988,424.619995,425.100006,397.311523,45110300
2021-06-25,425.899994,427.089996,425.549988,426.609985,398.722870,58129500
2021-06-28,427.170013,427.649994,425.890015,427.470001,399.526611,53159600
2021-06-29,427.880005,428.559998,427.130005,427.700012,399.741608,35970500
2021-06-30,427.209991,428.779999,427.179993,428.059998,400.077972,64827900
2021-07-01,428.869995,430.600006,428.799988,430.429993,402.293121,53441000
2021-07-02,431.670013,434.100006,430.519989,433.720001,405.368042,57697700
2021-07-06,433.779999,434.010010,430.010010,432.929993,404.629669,68710400
2021-07-07,433.660004,434.760010,431.510010,434.459991,406.059601,63549500
2021-07-08,428.779999,431.730011,427.519989,430.920013,402.751099,97595200
2021-07-09,432.529999,435.839996,430.709991,435.519989,407.050354,76238600
2021-07-12,435.429993,437.350006,434.970001,437.079987,408.508362,52889600
2021-07-13,436.239990,437.839996,435.309998,435.589996,407.115814,52911300
2021-07-14,437.399994,437.920013,434.910004,436.239990,407.723267,64130400
2021-07-15,434.809998,435.529999,432.720001,434.750000,406.330719,55126400
2021-07-16,436.010010,436.059998,430.920013,431.339996,403.143616,75874700
2021-07-19,426.190002,431.410004,421.970001,424.970001,397.190002,147987000
2021-07-20,425.679993,432.420013,424.829987,431.059998,402.881927,99608200
2021-07-21,432.339996,434.700012,431.010010,434.549988,406.143707,64724400
2021-07-22,434.739990,435.720001,433.690002,435.459991,406.994324,47878500
2021-07-23,437.519989,440.299988,436.790009,439.940002,411.181396,63766600
2021-07-26,439.309998,441.029999,439.260010,441.019989,412.190918,43719200
2021-07-27,439.910004,439.940002,435.989990,439.010010,410.312317,67397100
2021-07-28,439.679993,440.299988,437.309998,438.829987,410.144012,52472400
2021-07-29,439.820007,441.799988,439.809998,440.649994,411.845001,47435300
2021-07-30,437.910004,440.059998,437.769989,438.510010,409.844971,68951200
2021-08-02,440.339996,440.929993,437.209991,437.589996,408.985107,58783300
2021-08-03,438.440002,441.279999,436.100006,441.149994,412.312317,58053900
2021-08-04,439.779999,441.119995,438.730011,438.980011,410.284271,46732200
2021-08-05,440.220001,441.850006,439.880005,441.760010,412.882477,38969700
2021-08-06,442.100006,442.940002,441.799988,442.489990,413.564697,46930000
2021-08-09,442.459991,442.799988,441.309998,442.130005,413.228333,41222600
2021-08-10,442.609985,443.440002,441.880005,442.679993,413.742401,43339300
2021-08-11,443.820007,443.880005,442.619995,443.779999,414.770386,44034300
2021-08-12,443.619995,445.260010,442.660004,445.109985,416.013489,38909400
2021-08-13,445.589996,445.940002,445.070007,445.920013,416.770538,39470300
2021-08-16,444.529999,447.109985,442.869995,446.970001,417.751953,73740000
2021-08-17,444.239990,444.959991,440.850006,444.040009,415.013458,92673900
2021-08-18,442.959991,444.630005,438.920013,439.179993,410.471130,89351900
2021-08-19,436.269989,441.140015,436.119995,439.859985,411.106689,92812200
2021-08-20,440.230011,443.709991,439.709991,443.359985,414.377869,72008700
2021-08-23,445.160004,448.230011,443.440002,447.260010,418.022980,54973000
2021-08-24,447.970001,448.540009,447.420013,447.970001,418.686584,38744700
2021-08-25,448.170013,449.459991,447.769989,448.910004,419.565094,40529700
2021-08-26,448.609985,448.859985,446.160004,446.260010,417.088348,57829600
2021-08-27,447.119995,450.649994,447.059998,450.250000,420.817505,77235100
2021-08-30,450.970001,453.070007,450.709991,452.230011,422.668060,48357400
2021-08-31,452.130005,452.489990,450.920013,451.559998,422.041809,59300200
2021-09-01,452.559998,453.109985,451.549988,451.799988,422.266174,48721400
2021-09-02,453.320007,454.049988,451.910004,453.190002,423.565308,42501000
2021-09-03,451.980011,453.630005,451.549988,453.079987,423.462494,47170500
2021-09-07,452.709991,452.809998,450.739990,451.459991,421.948303,51671500
2021-09-08,450.890015,451.670013,448.859985,450.910004,421.434357,56181900
2021-09-09,450.700012,452.570007,448.720001,448.980011,419.630554,57970400
2021-09-10,451.040009,451.489990,445.309998,445.440002,416.321899,89948200
2021-09-13,448.640015,448.920013,444.109985,446.579987,417.387360,83738600
2021-09-14,448.119995,448.339996,443.220001,444.170013,415.135040,78197100
2021-09-15,444.619995,448.410004,443.440002,447.880005,418.602386,78792200
2021-09-16,447.320007,448.359985,444.019989,447.170013,417.938843,77786700
2021-09-17,444.920013,445.369995,441.019989,441.399994,413.867645,118425000
2021-09-20,434.880005,436.559998,428.859985,434.040009,406.966736,166445500
2021-09-21,436.529999,437.910004,433.070007,433.630005,406.582336,92526100
2021-09-22,436.049988,440.029999,433.750000,437.859985,410.548492,102350100
2021-09-23,439.850006,444.890015,439.600006,443.179993,415.536621,76396000
2021-09-24,441.440002,444.670013,441.209991,443.910004,416.221100,62094800
2021-09-27,442.809998,444.049988,441.899994,442.640015,415.030304,61371100
2021-09-28,439.690002,440.040009,432.940002,433.720001,406.666687,130436300
2021-09-29,435.190002,437.040009,433.850006,434.450012,407.351166,82329200
2021-09-30,436.019989,436.769989,428.779999,429.140015,402.372437,140506000
2021-10-01,430.980011,436.029999,427.230011,434.239990,407.154266,129240100
2021-10-04,433.000000,433.959991,426.359985,428.640015,401.903656,128570000
2021-10-05,430.239990,435.489990,429.390015,433.100006,406.085419,90682500
2021-10-06,429.269989,435.119995,427.540009,434.899994,407.773132,113032200
2021-10-07,438.390015,441.679993,438.200012,438.660004,411.298584,72437500
2021-10-08,439.480011,439.890015,437.190002,437.859985,410.548492,74557400
2021-10-11,437.160004,440.260010,434.619995,434.690002,407.576172,65233300
2021-10-12,435.670013,436.100006,432.779999,433.619995,406.572968,71181200
2021-10-13,434.709991,436.049988,431.540009,435.179993,408.035614,72974000
2021-10-14,439.079987,442.660004,438.579987,442.500000,414.899017,70236800
2021-10-15,444.750000,446.260010,444.089996,445.869995,418.058868,66260200
2021-10-18,443.970001,447.549988,443.269989,447.190002,419.296509,62213200
2021-10-19,448.920013,450.709991,448.269989,450.640015,422.531372,46996800
2021-10-20,451.130005,452.730011,451.010010,452.410004,424.190918,49571600
2021-10-21,451.769989,453.829987,451.309998,453.589996,425.297363,41305400
2021-10-22,453.130005,454.670013,451.049988,453.119995,424.856628,58845100
2021-10-25,454.279999,455.899994,452.390015,455.549988,427.135010,45214500
2021-10-26,457.200012,458.489990,455.559998,455.959991,427.519531,56075100
2021-10-27,456.450012,457.160004,453.859985,453.940002,425.625549,72438000
2021-10-28,455.459991,458.399994,455.450012,458.320007,429.732239,51437900
2021-10-29,455.869995,459.559998,455.559998,459.250000,430.604309,70162400
2021-11-01,460.299988,460.700012,458.200012,460.040009,431.345001,48433600
2021-11-02,460.220001,462.230011,460.079987,461.899994,433.088989,48908400
2021-11-03,461.299988,465.149994,460.829987,464.720001,435.733124,52509800
2021-11-04,465.359985,467.000000,464.989990,466.910004,437.786560,52847100
2021-11-05,469.279999,470.649994,466.920013,468.529999,439.305420,66390600
2021-11-08,469.700012,470.230011,468.200012,468.929993,439.680481,50405200
2021-11-09,469.320007,469.570007,465.880005,467.380005,438.227142,51149100
2021-11-10,465.579987,467.380005,462.040009,463.619995,434.701752,69429700
2021-11-11,465.209991,465.290009,463.750000,463.769989,434.842377,34848500
2021-11-12,465.119995,467.859985,464.109985,467.269989,438.124023,53466700
2021-11-15,468.640015,468.809998,466.230011,467.429993,438.274017,46980500
2021-11-16,467.149994,470.489990,467.070007,469.279999,440.008636,48857500
2021-11-17,469.000000,469.190002,467.480011,468.140015,438.939728,47858300
2021-11-18,469.239990,470.010010,466.339996,469.730011,440.430542,50625600
2021-11-19,469.609985,470.940002,468.500000,468.890015,439.642944,57315600
2021-11-22,470.890015,473.540009,467.350006,467.570007,438.405243,72762000
2021-11-23,467.220001,469.100006,464.450012,468.190002,438.986725,73206500
2021-11-24,466.059998,469.570007,465.190002,469.440002,440.158691,61858800
2021-11-26,462.339996,463.899994,457.769989,458.970001,430.341705,112669600
2021-11-29,464.070007,466.559998,461.730011,464.600006,435.620575,86268800
2021-11-30,462.000000,464.029999,455.299988,455.559998,427.144470,148559600
2021-12-01,461.640015,464.670013,450.290009,450.500000,422.400055,131939200
2021-12-02,450.730011,459.070007,450.309998,457.399994,428.869659,127637800
2021-12-03,459.170013,460.299988,448.920013,453.420013,425.137939,137331600
2021-12-06,456.130005,460.790009,453.559998,458.790009,430.173004,98977500
2021-12-07,464.410004,468.880005,458.649994,468.279999,439.071075,95484700
2021-12-08,468.700012,470.000000,466.829987,469.519989,440.233643,72238800
2021-12-09,468.149994,469.630005,466.140015,466.350006,437.261383,61272600
2021-12-10,469.230011,470.899994,466.510010,470.739990,441.377594,77159800
2021-12-13,470.190002,470.559998,466.269989,466.570007,437.467712,87724700
2021-12-14,463.089996,465.739990,460.250000,463.359985,434.457886,97264100
2021-12-15,463.420013,470.859985,460.739990,470.600006,441.246277,116899300
2021-12-16,472.570007,472.869995,464.799988,466.450012,437.355164,116568600
2021-12-17,461.549988,464.739990,458.059998,459.869995,432.700470,135511600
2021-12-20,454.480011,455.399994,451.140015,454.980011,428.099396,107134800
2021-12-21,458.609985,463.209991,456.309998,463.059998,435.701996,69806300
2021-12-22,462.790009,467.809998,462.579987,467.690002,440.058472,58890200
2021-12-23,468.750000,472.190002,468.640015,470.600006,442.796539,56439700
2021-12-27,472.059998,477.309998,472.010010,477.260010,449.063049,56808600
2021-12-28,477.720001,478.809998,476.059998,476.869995,448.696045,47274600
2021-12-29,476.980011,478.559998,475.920013,477.480011,449.270050,54503000
2021-12-30,477.929993,479.000000,475.670013,476.160004,448.028015,55329000
2021-12-31,475.640015,476.859985,474.670013,474.959991,446.898956,65237400
2022-01-03,476.299988,477.850006,473.850006,477.709991,449.486450,72668200
2022-01-04,479.220001,479.980011,475.579987,477.549988,449.335938,71178700
2022-01-05,477.160004,477.980011,468.279999,468.380005,440.707672,104538900
2022-01-06,467.890015,470.820007,465.429993,467.940002,440.293640,86858900
2022-01-07,467.950012,469.200012,464.649994,466.089996,438.552948,85111600
2022-01-10,462.700012,465.739990,456.600006,465.510010,438.007294,119362000
2022-01-11,465.230011,469.850006,462.049988,469.750000,441.996735,74303100
2022-01-12,471.589996,473.200012,468.940002,471.019989,443.191711,67605400
2022-01-13,472.190002,472.880005,463.440002,464.529999,437.085205,91173100
2022-01-14,461.190002,465.089996,459.899994,464.720001,437.263916,95890900
2022-01-18,459.739990,459.959991,455.309998,456.489990,429.520142,109709100
2022-01-19,458.130005,459.609985,451.459991,451.750000,425.060181,109357600
2022-01-20,453.750000,458.739990,444.500000,446.750000,420.355621,122379700
2022-01-21,445.559998,448.059998,437.950012,437.980011,412.103790,202271200
2022-01-24,432.029999,440.380005,420.760010,439.839996,413.853912,251783900
2022-01-25,433.059998,439.720001,427.149994,434.470001,408.801086,167997300
2022-01-26,440.720001,444.040009,428.859985,433.380005,407.775604,186391100
2022-01-27,438.260010,441.589996,429.450012,431.239990,405.761963,149878300
2022-01-28,432.679993,442.000000,427.820007,441.950012,415.839203,164457400
2022-01-31,441.239990,450.279999,439.809998,449.910004,423.328979,152251400
2022-02-01,450.679993,453.630005,446.940002,452.950012,426.189331,123155400
2022-02-02,455.500000,458.119995,453.049988,457.350006,430.329376,117361000
2022-02-03,450.950012,452.970001,445.709991,446.600006,420.214508,118024400
2022-02-04,446.350006,452.779999,443.829987,448.700012,422.190399,118454400
2022-02-07,449.510010,450.989990,445.850006,447.260010,420.835510,84472900
2022-02-08,446.730011,451.920013,445.220001,450.940002,424.298004,81012000
2022-02-09,455.220001,457.880005,455.010010,457.540009,430.508118,92589900
2022-02-10,451.339996,457.709991,447.200012,449.320007,422.773804,140103700
2022-02-11,449.410004,451.609985,438.940002,440.459991,414.437195,153214600
2022-02-14,439.920013,441.600006,435.339996,439.019989,413.082214,123006300
2022-02-15,443.730011,446.279999,443.179993,446.100006,419.744019,88482700
2022-02-16,443.929993,448.059998,441.940002,446.600006,420.214508,84863600
2022-02-17,443.220001,446.570007,436.420013,437.059998,411.238190,102259100
2022-02-18,437.329987,438.660004,431.820007,434.230011,408.575348,132642900
2022-02-22,431.890015,435.500000,425.859985,429.570007,404.190674,124391800
2022-02-23,432.660004,433.260010,421.350006,421.950012,397.020905,132578000
2022-02-24,411.019989,428.760010,410.640015,428.299988,402.995667,213942900
2022-02-25,429.609985,437.839996,427.859985,437.750000,411.887390,121804500
2022-02-28,432.029999,438.200012,430.700012,436.630005,410.833527,145615000
2022-03-01,435.040009,437.170013,427.109985,429.980011,404.576324,137785900
2022-03-02,432.369995,439.720001,431.570007,437.890015,412.019012,117726500
2022-03-03,440.470001,441.109985,433.799988,435.709991,409.967834,105501700
2022-03-04,431.750000,433.369995,427.880005,432.170013,406.636993,113978200
2022-03-07,431.549988,432.299988,419.359985,419.429993,394.649719,137896600
2022-03-08,419.619995,427.209991,415.119995,416.250000,391.657562,164772700
2022-03-09,425.140015,429.510010,422.820007,427.410004,402.158203,116990800
2022-03-10,422.519989,426.429993,420.440002,425.480011,400.342285,93972700
2022-03-11,428.119995,428.769989,419.529999,420.070007,395.251892,95636300
2022-03-14,420.890015,424.549988,415.790009,417.000000,392.363251,95729200
2022-03-15,419.769989,426.839996,418.420013,426.170013,400.991486,106219100
2022-03-16,429.890015,435.679993,424.799988,435.619995,409.883209,144954800
2022-03-17,433.589996,441.070007,433.190002,441.070007,415.011108,102676900
2022-03-18,438.000000,444.859985,437.220001,444.519989,419.556671,106345500
2022-03-21,444.339996,446.459991,440.679993,444.390015,419.434052,88349800
2022-03-22,445.859985,450.579987,445.859985,449.589996,424.341980,74650400
2022-03-23,446.910004,448.489990,443.709991,443.799988,418.877167,79426100
2022-03-24,445.940002,450.500000,444.760010,450.489990,425.191437,64736900
2022-03-25,451.160004,452.980011,448.429993,452.690002,427.267883,77101300
2022-03-28,452.059998,455.910004,450.059998,455.910004,430.307129,68529800
2022-03-29,460.019989,462.070007,457.179993,461.549988,435.630310,86581500
2022-03-30,460.339996,461.200012,456.470001,458.700012,432.940399,79666900
2022-03-31,457.890015,458.760010,451.160004,451.640015,426.276886,121699900
2022-04-01,453.309998,453.459991,449.140015,452.920013,427.485046,89048800
2022-04-04,453.130005,456.910004,452.260010,456.799988,431.147064,59601000
2022-04-05,455.220001,457.829987,449.820007,451.029999,425.701050,74214500
2022-04-06,446.890015,448.929993,443.470001,446.519989,421.444397,106898000
2022-04-07,445.589996,450.690002,443.529999,448.769989,423.568024,78097200
2022-04-08,447.970001,450.630005,445.940002,447.570007,422.435455,79272700
2022-04-11,444.109985,445.000000,439.390015,439.920013,415.215027,89770500
2022-04-12,443.079987,445.750000,436.649994,438.290009,413.676575,84363600
2022-04-13,438.029999,444.109985,437.839996,443.309998,418.414673,74070400
2022-04-14,443.549988,444.730011,437.679993,437.790009,413.204620,97869500
