Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,18.435249,18.536501,17.822750,18.427250,18.363735,672384000
2021-06-22,18.471500,18.963751,18.386000,18.886749,18.821650,580144000
2021-06-23,19.007750,19.152750,18.907749,19.057249,18.991562,332356000
2021-06-24,19.227751,19.420000,19.088249,19.205500,19.139303,320924000
2021-06-25,19.280500,19.345501,18.894501,19.031000,18.965403,278364000
2021-06-28,19.361250,20.078751,19.319000,19.985001,19.916115,495436000
2021-06-29,19.882500,20.098749,19.657000,20.026751,19.957718,367632000
2021-06-30,19.999250,20.162500,19.863750,20.002501,19.933556,326568000
2021-07-01,20.125000,20.455999,20.018999,20.212000,20.142328,480136000
2021-07-02,20.440250,20.505251,20.287750,20.487000,20.416376,342764000
2021-07-06,20.737499,20.841999,20.350250,20.698500,20.627151,446708000
2021-07-07,20.853500,20.875000,20.332001,20.371750,20.301531,418428000
2021-07-08,19.856501,20.132999,19.700750,19.902750,19.834145,503300000
2021-07-09,19.962500,20.080250,19.754250,20.050249,19.981133,296624000
2021-07-12,20.240000,20.532749,20.187750,20.512501,20.441793,321984000
2021-07-13,20.400499,20.461250,20.114000,20.250000,20.180199,290708000
2021-07-14,20.357750,20.417749,19.752750,19.841499,19.773106,380100000
2021-07-15,19.811750,19.847000,18.858500,18.966249,18.900873,550564000
2021-07-16,19.030500,19.157000,18.073000,18.160999,18.098394,688224000
2021-07-19,17.915251,19.042000,17.865499,18.779751,18.715021,749060000
2021-07-20,18.730000,18.837999,18.164000,18.612000,18.547842,434687000
2021-07-21,18.882000,19.527000,18.742001,19.410000,19.343092,371017000
2021-07-22,19.642000,19.886999,19.275999,19.594000,19.526461,323826000
2021-07-23,19.656000,19.700001,19.250000,19.558001,19.490587,195672000
2021-07-26,19.311001,19.441999,18.914000,19.294001,19.227499,203943000
2021-07-27,19.264999,19.622000,18.740999,19.208000,19.141788,248863000
2021-07-28,19.319000,19.646000,18.995001,19.503000,19.435774,202191000
2021-07-29,19.518999,19.853001,19.327999,19.662001,19.594227,190781000
2021-07-30,19.417999,19.629999,19.263000,19.499001,19.431789,183497000
2021-08-02,19.700001,19.961000,19.361000,19.750000,19.681919,217444000
2021-08-03,19.740000,20.222000,19.219999,19.815001,19.746696,301811000
2021-08-04,19.990000,20.318001,19.827999,20.274000,20.204119,231309000
2021-08-05,20.500000,20.733000,20.341999,20.636999,20.565863,211435000
2021-08-06,20.524000,20.570000,20.209999,20.365999,20.295797,178497000
2021-08-09,20.445999,20.507999,20.143000,20.295000,20.225044,146443000
2021-08-10,20.322001,20.430000,19.834999,19.936001,19.867281,179238000
2021-08-11,20.042999,20.049000,19.430000,19.698999,19.631100,185925000
2021-08-12,19.870001,20.028999,19.620001,19.905001,19.836388,151652000
2021-08-13,19.905001,20.214001,19.851000,20.188000,20.118416,183063000
2021-08-16,20.135000,20.287001,19.452999,19.950001,19.881231,210876000
2021-08-17,19.684999,19.770000,19.267000,19.458000,19.390926,204585000
2021-08-18,19.500000,19.634001,19.000000,19.040001,18.974369,285913000
2021-08-19,19.493999,20.495001,18.761999,19.798000,19.729759,766555000
2021-08-20,19.990999,20.865000,19.933001,20.816000,20.744251,675741000
2021-08-23,20.971001,21.997000,20.950001,21.958000,21.882311,575807000
2021-08-24,21.753000,21.959000,21.535000,21.792999,21.717880,297299000
2021-08-25,21.737000,22.469999,21.722000,22.212999,22.136429,347701000
2021-08-26,22.200001,22.340000,21.790001,22.068001,21.991932,237940000
2021-08-27,22.184000,22.722000,22.167000,22.636000,22.557974,304722000
2021-08-30,22.830000,23.042999,22.551001,22.688000,22.609795,262580000
2021-08-31,22.695000,22.695000,22.120001,22.385000,22.311775,259850000
2021-09-01,22.485001,22.697001,22.357000,22.441000,22.367590,201767000
2021-09-02,22.518000,22.593000,22.295000,22.396000,22.322739,187834000
2021-09-03,22.325001,22.986000,22.200001,22.843000,22.768276,280532000
2021-09-07,22.833000,22.899000,22.521999,22.662001,22.587870,198107000
2021-09-08,22.513000,22.610001,21.976999,22.339001,22.265932,254434000
2021-09-09,22.312000,22.538000,22.131001,22.177000,22.104452,196856000
2021-09-10,22.348000,22.625999,22.270000,22.478001,22.404470,248376000
2021-09-13,22.684000,22.964001,21.858000,22.152000,22.079535,297500000
2021-09-14,22.275000,22.410000,22.086000,22.242001,22.169241,199755000
2021-09-15,22.309000,22.367001,21.966000,22.341000,22.267923,166538000
2021-09-16,22.183001,22.277000,21.927000,22.242001,22.169241,156033000
2021-09-17,22.299999,22.320999,21.830000,21.900000,21.828362,294503000
2021-09-20,21.146000,21.433001,20.662001,21.113001,21.043934,349440000
2021-09-21,21.417000,21.424999,20.950001,21.246000,21.176504,204688000
2021-09-22,21.365999,21.959999,21.195999,21.941000,21.869223,268726000
2021-09-23,22.139999,22.535000,21.889999,22.482000,22.408453,248555000
2021-09-24,22.070000,22.149000,21.861000,22.080999,22.008770,217655000
2021-09-27,21.709999,21.799000,21.325001,21.660000,21.589148,245215000
2021-09-28,21.214001,21.419001,20.650999,20.698999,20.631289,343069000
2021-09-29,20.940001,21.017000,20.466999,20.517000,20.449884,218394000
2021-09-30,20.768000,21.066000,20.688000,20.716000,20.648235,221009000
2021-10-01,20.750000,20.858999,20.202999,20.742001,20.674149,240978000
2021-10-04,20.504000,20.542000,19.555000,19.732000,19.667454,345635000
2021-10-05,19.950001,20.648001,19.854000,20.451000,20.384104,279282000
2021-10-06,20.120001,20.719999,20.080000,20.700001,20.632288,297202000
2021-10-07,21.091999,21.322001,20.972000,21.075001,21.006062,256919000
2021-10-08,21.101000,21.205999,20.775000,20.830999,20.762857,151258000
2021-10-11,20.575001,21.063000,20.511000,20.695000,20.627300,163388000
2021-10-12,20.827999,21.056999,20.528000,20.671000,20.603382,162134000
2021-10-13,20.917999,20.990000,20.712999,20.938999,20.870504,180652000
2021-10-14,21.288000,21.754999,21.122000,21.746000,21.674864,243589000
2021-10-15,21.809999,21.931000,21.662001,21.862000,21.790485,226994000
2021-10-18,21.749001,22.291000,21.643999,22.222000,22.149309,189494000
2021-10-19,22.275999,22.379000,22.037001,22.290001,22.217085,161473000
2021-10-20,22.305000,22.433001,21.982000,22.103001,22.030704,146276000
2021-10-21,22.097000,22.711000,22.083000,22.691999,22.617769,187590000
2021-10-22,22.823000,23.129999,22.561001,22.726000,22.651655,249384000
2021-10-25,22.973000,23.355000,22.770000,23.166000,23.090218,230235000
2021-10-26,23.989000,25.259001,23.924000,24.716999,24.636137,485898000
2021-10-27,24.474001,25.090000,24.282000,24.451000,24.371016,245990000
2021-10-28,24.878000,24.950001,24.523001,24.941000,24.859413,234204000
2021-10-29,25.000999,25.709000,25.000000,25.566999,25.483362,292503000
2021-11-01,25.649000,25.893999,25.226999,25.827000,25.742512,265740000
2021-11-02,25.822001,26.677999,25.799999,26.400999,26.314636,294112000
2021-11-03,26.670000,26.784000,26.235001,26.598000,26.510988,239910000
2021-11-04,27.229000,31.365000,27.118000,29.801001,29.703516,1153631000
2021-11-05,30.187000,31.400000,29.410000,29.752001,29.654676,851260000
2021-11-08,30.149000,31.100000,29.907000,30.804001,30.703236,503101000
2021-11-09,32.282001,32.310001,29.964001,30.657000,30.556715,646746000
2021-11-10,29.356001,30.850000,28.778000,29.459000,29.362633,636206000
2021-11-11,30.468000,30.590000,29.777000,30.389999,30.290585,332172000
2021-11-12,30.010000,30.680000,29.629999,30.389999,30.290585,413054000
2021-11-15,30.552000,30.643999,29.247000,30.025000,29.926783,384909000
2021-11-16,29.759001,30.389999,29.705999,30.202999,30.104195,264484000
2021-11-17,30.417999,30.509001,28.799999,29.261000,29.165276,428508000
2021-11-18,32.367001,32.759998,31.320999,31.674999,31.571384,781711000
2021-11-19,32.243000,33.088001,31.905001,32.985001,32.877098,533867000
2021-11-22,33.516998,34.646999,31.900000,31.955999,31.851463,754335000
2021-11-23,31.535000,32.360001,30.879999,31.746000,31.642155,532163000
2021-11-24,31.461000,32.855000,30.927999,32.674000,32.567123,435162000
2021-11-26,32.599998,32.709999,31.350000,31.503000,31.399946,283069000
2021-11-29,32.366001,33.411999,32.035999,33.375999,33.266819,454964000
2021-11-30,33.168999,33.353001,31.864000,32.675999,32.569118,622066000
2021-12-01,33.219002,33.289001,31.379999,31.434999,31.336006,484368000
2021-12-02,31.214001,32.478001,31.025000,32.125999,32.024834,472890000
2021-12-03,32.000000,32.129002,30.129999,30.693001,30.596342,544325000
2021-12-06,29.879999,30.240999,28.038000,30.037001,29.942408,658938000
2021-12-07,30.957001,32.449001,30.650999,32.426998,32.324883,593053000
2021-12-08,31.999001,32.290001,31.421000,31.826000,31.725775,475551000
2021-12-09,31.733999,32.205002,30.427999,30.490000,30.393980,488507000
2021-12-10,31.150000,31.305000,29.861000,30.198000,30.102900,488825000
2021-12-13,30.249001,30.294001,28.115999,28.160999,28.072315,598344000
2021-12-14,27.698999,28.677999,27.250000,28.337000,28.247763,667035000
2021-12-15,28.400000,30.500000,27.837999,30.459000,30.363081,698297000
2021-12-16,31.152000,31.160000,28.093000,28.386999,28.297602,707366000
2021-12-17,27.985001,28.922001,27.760000,27.801001,27.713448,713758000
2021-12-20,27.305000,28.143999,27.145000,27.719000,27.631708,461847000
2021-12-21,28.374001,29.120001,27.400999,29.075001,28.983435,524385000
2021-12-22,28.891001,29.555000,28.448999,29.400000,29.307411,395184000
2021-12-23,29.754999,30.059000,29.431000,29.639999,29.546659,343022000
2021-12-27,29.660000,31.087000,29.639999,30.945000,30.847549,403686000
2021-12-28,31.312000,31.330000,30.011999,30.322001,30.226509,420591000
2021-12-29,30.273001,30.548000,29.365999,30.000999,29.906521,343139000
2021-12-30,29.827000,30.457001,29.540001,29.586000,29.492825,308864000
2021-12-31,29.674000,30.030001,29.330999,29.410999,29.318378,266530000
2022-01-03,29.815001,30.711000,29.785000,30.121000,30.026142,391547000
2022-01-04,30.277000,30.468000,28.349001,29.290001,29.197758,527154000
2022-01-05,28.948999,29.416000,27.533001,27.604000,27.517069,498064000
2022-01-06,27.639999,28.438000,27.065001,28.177999,28.089262,454186000
2022-01-07,28.141001,28.422001,27.056999,27.247000,27.161194,409939000
2022-01-10,26.580999,27.469000,25.643999,27.400000,27.313715,594681000
2022-01-11,27.323000,28.065001,26.839001,27.816999,27.729401,404089000
2022-01-12,28.066999,28.594999,27.608000,27.999001,27.910828,383413000
2022-01-13,28.379000,28.480000,26.497999,26.575001,26.491312,540171000
2022-01-14,26.299999,27.197001,26.209999,26.941999,26.857157,395832000
2022-01-18,26.260000,26.638000,25.770000,25.903000,25.821423,424270000
2022-01-19,26.079000,26.542999,25.052000,25.066999,24.988058,488315000
2022-01-20,25.304001,25.579000,24.077999,24.150000,24.073946,435181000
2022-01-21,23.507000,24.823000,23.263000,23.374001,23.300392,718958000
2022-01-24,22.330000,23.379999,20.888000,23.372000,23.298395,913982000
2022-01-25,22.546000,22.943001,22.000000,22.323999,22.253693,664616000
2022-01-26,23.240000,24.056999,22.299999,22.771999,22.700287,755959000
2022-01-27,23.568001,23.995001,21.674999,21.944000,21.874893,573353000
2022-01-28,22.011999,22.858000,21.296000,22.840000,22.768072,543774000
2022-01-31,23.181999,24.509001,23.052000,24.486000,24.408888,564680000
2022-02-01,25.104000,25.145000,23.889999,24.638000,24.560411,518925000
2022-02-02,25.794001,25.816999,24.552999,25.242001,25.162512,543419000
2022-02-03,24.458000,25.077000,23.780001,23.948000,23.872580,410178000
2022-02-04,23.972000,24.635000,23.632000,24.319000,24.242414,354829000
2022-02-07,24.372000,25.181999,24.202000,24.728001,24.650124,376868000
2022-02-08,24.358999,25.230000,23.980000,25.108000,25.028927,410359000
2022-02-09,25.622000,26.725000,25.353001,26.705000,26.620903,524282000
2022-02-10,25.995001,26.924999,25.600000,25.823999,25.742672,513200000
2022-02-11,25.916000,26.152000,23.773001,23.948999,23.873579,605472000
2022-02-14,23.934000,24.875000,23.754999,24.267000,24.190582,440424000
2022-02-15,24.948999,26.545000,24.784000,26.495001,26.411564,699869000
2022-02-16,26.259001,26.582001,25.552000,26.511000,26.427509,732676000
2022-02-17,25.629999,25.785000,24.165001,24.507000,24.429823,810595000
2022-02-18,24.667999,24.986000,23.100000,23.642000,23.567547,761255000
2022-02-22,23.035000,24.063999,23.000000,23.389999,23.316336,633422000
2022-02-23,23.802000,24.155001,22.301001,22.386999,22.316500,566511000
2022-02-24,21.014999,23.799999,20.889999,23.747999,23.673214,735801000
2022-02-25,23.721001,24.216999,23.381001,24.157000,24.080925,528866000
2022-02-28,23.992001,24.665001,23.707001,24.385000,24.308207,477319000
2022-03-01,24.291000,24.377001,23.132000,23.476999,23.403067,412056000
2022-03-02,23.756001,24.409000,23.415001,24.219999,24.147837,389642000
2022-03-03,24.261999,24.326000,23.469000,23.714001,23.643349,365095000
2022-03-04,23.384001,23.680000,22.482000,22.936001,22.867666,431415000
2022-03-07,22.816999,23.033001,21.330000,21.351999,21.288383,450821000
2022-03-08,21.309000,22.372999,20.650000,21.514000,21.449903,557467000
2022-03-09,22.386999,23.219999,22.247000,23.014000,22.945436,492742000
2022-03-10,22.531000,22.788000,21.882000,22.658001,22.590496,428066000
2022-03-11,23.021999,23.145000,22.046000,22.100000,22.034159,367209000
2022-03-14,21.868999,22.261999,21.159000,21.330000,21.266447,385354000
2022-03-15,21.518000,23.038000,21.322001,22.973000,22.904552,491996000
2022-03-16,23.500000,24.597000,23.172001,24.496000,24.423021,671422000
2022-03-17,24.120001,24.841999,23.906000,24.766001,24.692211,471941000
2022-03-18,24.799000,26.569000,24.624001,26.452999,26.374184,730719000
2022-03-21,26.507000,27.152000,25.966999,26.733999,26.654350,591727000
2022-03-22,26.726999,27.238001,26.072001,26.524000,26.444975,547007000
2022-03-23,26.125999,26.612000,25.575001,25.634001,25.557627,502120000
2022-03-24,26.166000,28.320000,25.907000,28.150000,28.066126,877379000
2022-03-25,27.886000,28.358000,27.271000,27.691999,27.609495,579016000
2022-03-28,27.756001,28.250000,27.205999,28.219000,28.134924,425494000
2022-03-29,28.695000,28.945999,27.980000,28.656000,28.570623,488984000
2022-03-30,28.304001,28.496000,27.503000,27.690001,27.607500,463487000
2022-03-31,27.782000,28.247999,27.270000,27.285999,27.204706,523440000
2022-04-01,27.375000,27.496000,26.267000,26.712000,26.632418,517235000
2022-04-04,26.728001,27.558001,26.613001,27.360001,27.278486,397120000
2022-04-05,27.254000,27.319000,25.820000,25.931000,25.853741,436615000
2022-04-06,24.934000,25.299999,24.003000,24.407000,24.334280,703833000
2022-04-07,24.441000,24.722000,23.478001,24.208000,24.135878,557992000
2022-04-08,23.917000,23.923000,23.062000,23.118999,23.050119,524781000
2022-04-11,22.214001,22.320000,21.660000,21.917000,21.851702,575207000
2022-04-12,22.537001,22.725000,21.282000,21.504000,21.439926,662258000
2022-04-13,21.728001,22.500000,21.455000,22.202999,22.136850,516943000
2022-04-14,22.504999,22.777000,21.163000,21.257999,21.194662,569097000
2022-04-18,21.200001,22.087999,21.079000,21.783001,21.718100,525701000
2022-04-19,21.719999,22.372999,21.313999,22.198000,22.131863,512781000
2022-04-20,22.517000,22.670000,21.200001,21.482000,21.417997,468974000
2022-04-21,21.709000,22.392000,20.000000,20.183001,20.122866,656209000
2022-04-22,20.302999,20.486000,19.500000,19.514999,19.456858,624713000
2022-04-25,19.202000,19.945000,19.096001,19.902000,19.842705,641566000
2022-04-26,19.718000,19.788000,18.670000,18.788000,18.732021,653143000
2022-04-27,18.598000,19.167000,18.290001,18.415001,18.360138,499460000
2022-04-28,18.966999,20.037001,18.490000,19.782000,19.723061,570327000
2022-04-29,19.402000,20.128000,18.517000,18.547001,18.491743,500435000
2022-05-02,18.541000,19.573999,18.391001,19.533001,19.474804,572049000
2022-05-03,19.400000,19.825001,19.132999,19.601999,19.543600,475751000
2022-05-04,19.923000,20.400000,18.750999,20.334000,20.273415,648855000
2022-05-05,19.867001,19.924999,18.500000,18.844000,18.787855,626331000
2022-05-06,18.736000,19.511999,17.990000,18.674999,18.619360,633297000
2022-05-09,18.034000,18.254999,16.827000,16.950001,16.899502,644455000
